"","CreditScore","FirstPmt","FirstTimeHomebuyer","Maturity Date","MSA Code","MI Percentage","Number of Units","Occupancy Status","CLTV","DTI","UPB","LTV","Interest Rate","Channel","PPM","Product","State","Property Type","Postal Code","Loan Sequence Number","Loan Purpose","Original Term","Borrower Num","Seller Name","Servicer Name","Super Conforming","NPV"
"837","758","199903","2","202902",NA,"0","1","2","75","33","53000","75","6.625","4","2","1","29","6","27800","837","1","360","1","299","10",NA,"5485.99260016656"
"838","769","199903","2","202902","41740","0","1","3","58","15","170000","58","6.75","4","2","1","5","1","92000","838","2","360","2","299","10",NA,"22795.3195437833"
"839","648","199903","2","202902","45300","17","1","2","80","29","118000","80","6.75","4","2","1","10","6","33700","839","1","360","1","299","10",NA,"20453.4389681927"
"840","789","199903","2","202902","42044","0","1","2","33","27","49000","33","6.875","3","2","1","5","1","92600","840","3","360","1","299","3",NA,"23457.9942667421"
"841","713","199903","2","202902","48424","0","1","2","39","10","89000","39","6.5","4","2","1","10","5","33400","841","2","360","2","299","10",NA,"25749.5538102974"
"842","745","199903","2","202902","46060","0","1","2","80","40","200000","80","6.625","4","2","1","4","5","85700","842","3","360","2","299","10",NA,"28542.2667715437"
"843","748","199903","2","202902","12580","0","1","2","64","28","83000","64","6.375","3","2","1","22","6","21100","843","1","360","1","299","3",NA,"31028.7896369354"
"844","720","199903","2","202902","22380","0","1","2","43","13","84000","43","7.125","3","2","1","4","6","86000","844","1","360","2","299","10",NA,"16098.5254649354"
"845","771","199903","2","202902","14484","0","1","2","47","22","203000","47","6.875","4","2","1","21","6","2400","845","2","360","2","299","10",NA,"31819.1726381577"
"846","745","199903","2","202902","41940","0","1","2","80","35","218000","80","6.875","3","2","1","5","6","95000","846","3","360","1","299","10",NA,"30882.0217921885"
"847","739","199903","2","202902","14500","0","1","2","51","29","107000","51","7","3","2","1","6","6","80500","847","2","360","2","299","10",NA,"15571.0770160162"
"848","693","199903","2","202902","31084","0","1","2","75","38","154000","75","7","4","2","1","5","6","90800","848","2","360","2","299","10",NA,"24616.0080090456"
"849","725","199903","2","202902","40140","0","1","2","70","29","148000","70","6.625","3","3","1","5","6","92200","849","2","360","1","299","10",NA,"20956.5572894019"
"850","627","199903","2","202902",NA,"0","1","2","79","16","104000","79","6.875","3","3","1","15","6","83500","850","2","360","2","299","10",NA,"8940.44667728864"
"851","786","199903","2","202902","35380","0","1","2","78","19","198000","78","7.25","3","3","1","20","5","70400","851","2","360","2","299","10",NA,"7957.33249153284"
"852","650","199903","2","202902","16974","0","1","2","58","21","150000","58","6.625","4","2","1","16","5","60500","852","2","360","2","299","10",NA,"21020.1530805174"
